model,input_tokens,output_tokens,cost_usd,timestamp
MiniMax-M2.7-highspeed,1849,793,0.002857,2026-05-16T07:49:46.620415+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,772,331,0.0,2026-05-16T08:04:49.545782+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,328,141,0.0,2026-05-16T08:05:03.503469+00:00
deepseek-chat,620,266,0.0,2026-05-16T08:05:16.314709+00:00
MiniMax-M2.7-highspeed,802,345,0.002462,2026-05-16T08:09:38.415768+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,913,392,0.0,2026-05-16T08:12:38.759064+00:00
llama-3.3-70b-versatile,167,72,0.0,2026-05-16T08:12:39.335114+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,582,250,0.0,2026-05-16T08:13:03.363344+00:00
llama-3.3-70b-versatile,510,219,0.0,2026-05-16T08:13:05.644704+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,165,71,0.0,2026-05-16T08:13:06.441739+00:00
deepseek-chat,238,103,0.0,2026-05-16T08:13:44.657638+00:00
deepseek-chat,216,93,0.0,2026-05-16T08:13:54.695762+00:00
deepseek-chat,221,96,0.0,2026-05-16T08:14:05.145557+00:00
deepseek-chat,86,38,0.0,2026-05-16T08:14:11.093242+00:00
MiniMax-M2.7-highspeed,2084,894,0.004081,2026-05-16T08:20:16.724841+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1019,437,0.0,2026-05-16T08:25:37.156816+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,585,251,0.0,2026-05-16T08:25:50.091895+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,937,402,0.0,2026-05-16T08:33:43.484311+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,503,217,0.0,2026-05-16T08:33:58.694579+00:00
deepseek-chat,95,41,0.0,2026-05-16T08:39:41.186855+00:00
deepseek-chat,266,115,0.0,2026-05-16T08:39:53.690535+00:00
deepseek-chat,139,60,0.0,2026-05-16T08:40:01.260314+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1041,447,0.0,2026-05-16T08:40:28.442346+00:00
MiniMax-M2.7-highspeed,637,274,0.001953,2026-05-16T08:41:55.802442+00:00
llama-3.3-70b-versatile,720,309,0.0,2026-05-16T08:42:25.668481+00:00
MiniMax-M2.7-highspeed,1099,471,0.003519,2026-05-16T08:43:02.462628+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,913,392,0.0,2026-05-16T08:44:21.779182+00:00
llama-3.3-70b-versatile,167,72,0.0,2026-05-16T08:44:22.384706+00:00
